customer_name,category,sub_category,city,order_date,region,sales,profit
Veena,Bakery,Biscuits,Perambalur,2017-09-05,East,866,381.04
Aditi,Oil & Masala,Masalas,Tirunelveli,2018-09-18,West,2483,223.47
Surya,Food Grains,Atta & Flour,Kanyakumari,2018-09-18,West,1335,293.7
Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,2018-09-18,West,765,252.45
Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,2018-12-22,Central,2403,624.78
Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,2016-09-07,West,1551,573.87
Ridhesh,Food Grains,Organic Staples,Theni,2015-10-22,East,1564,187.68
Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,2017-12-05,Central,1125,292.5
Veronica,Beverages,Health Drinks,Tenkasi,2017-12-05,Central,768,184.32
Ravi,"Eggs, Meat & Fish",Fish,Vellore,2017-12-05,Central,1985,734.45
Muneer,Food Grains,Rice,Bodi,2017-12-05,Central,2287,1029.15
Jackson,Snacks,Chocolates,Pudukottai,2017-03-13,West,1016,335.28
Amy,Snacks,Cookies,Namakkal,2017-03-13,West,852,76.68
Ram,Food Grains,Organic Staples,Ramanadhapuram,2016-05-31,West,1233,234.27
Jonas,Snacks,Noodles,Pudukottai,2016-05-31,West,2236,626.08
Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,2016-05-31,West,2188,809.56
Peer,Snacks,Cookies,Coimbatore,2016-05-28,West,1114,456.74
Komal,Oil & Masala,Edible Oil & Ghee,Salem,2015-03-01,West,1774,620.9
Amy,Beverages,Soft Drinks,Karur,2017-11-20,Central,2364,1040.16
Amrish,Food Grains,Dals & Pulses,Madurai,2017-11-20,Central,1487,148.7
Yadav,Beverages,Soft Drinks,Ooty,2017-05-11,West,713,192.51
Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,2016-12-28,East,737,280.06
Amrish,Snacks,Chocolates,Trichy,2017-11-16,West,1004,341.36
Hussain,Snacks,Cookies,Theni,2017-11-07,West,1516,121.28
Haseena,Food Grains,Atta & Flour,Ramanadhapuram,2015-09-08,Central,1442,605.64
Sudha,Beverages,Health Drinks,Madurai,2015-09-08,Central,1690,422.5
Adavan,Snacks,Chocolates,Bodi,2015-09-08,Central,2021,343.57
Aditi,"Eggs, Meat & Fish",Mutton,Ooty,2015-09-08,Central,2340,491.4
Krithika,Oil & Masala,Spices,Viluppuram,2015-09-08,Central,705,176.25
Sharon,"Eggs, Meat & Fish",Chicken,Trichy,2015-09-08,Central,1215,60.75
Akash,Food Grains,Dals & Pulses,Krishnagiri,2015-09-08,Central,552,237.36
Sabeela,Beverages,Health Drinks,Tirunelveli,2015-08-05,West,1412,564.8
Surya,Food Grains,Dals & Pulses,Tirunelveli,2015-08-05,West,791,150.29
Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,2015-08-05,West,2476,420.92
Aditi,Fruits & Veggies,Fresh Vegetables,Karur,2015-09-14,Central,1747,471.69
Shah,Fruits & Veggies,Organic Fruits,Pudukottai,2015-09-14,Central,1973,848.39
Mathew,Oil & Masala,Spices,Krishnagiri,2018-04-21,Central,2025,546.75
Rumaiza,Snacks,Noodles,Vellore,2016-11-21,East,1016,223.52
Arvind,Fruits & Veggies,Organic Fruits,Trichy,2016-11-21,East,689,55.12
Krithika,Food Grains,Atta & Flour,Karur,2016-12-15,East,1322,343.72
Arvind,Snacks,Cookies,Bodi,2015-12-05,Central,1605,433.35
Ravi,Beverages,Health Drinks,Namakkal,2015-12-05,Central,1718,171.8
Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,2015-11-19,South,2177,783.72
Surya,Food Grains,Organic Staples,Cumbum,2015-11-19,South,578,236.98
Amrish,Food Grains,Dals & Pulses,Dindigul,2015-11-19,South,782,195.5
Shah,Snacks,Noodles,Chennai,2017-11-28,East,1388,97.16
Krithika,Bakery,Cakes,Cumbum,2015-08-26,West,2264,792.4
Anu,Beverages,Soft Drinks,Pudukottai,2017-07-16,Central,813,138.21
Yusuf,Fruits & Veggies,Organic Fruits,Madurai,2017-07-16,Central,2015,564.2
Rumaiza,Beverages,Soft Drinks,Vellore,2016-10-12,East,1433,472.89
Amrish,Fruits & Veggies,Organic Fruits,Chennai,2016-10-12,East,2093,334.88
Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,2016-10-12,East,2149,623.21
Anu,Beverages,Health Drinks,Dharmapuri,2016-10-12,East,1972,414.12
Suresh,Oil & Masala,Masalas,Dharmapuri,2016-10-12,East,2060,432.6
Peer,"Eggs, Meat & Fish",Eggs,Tirunelveli,2016-10-31,West,1175,340.75
Sundar,Oil & Masala,Edible Oil & Ghee,Theni,2015-03-21,East,1006,191.14
Sudeep,Bakery,Breads & Buns,Karur,2015-03-21,East,1409,380.43
Verma,Food Grains,Organic Staples,Pudukottai,2018-11-06,East,914,338.18
Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,2018-07-06,East,1352,527.28
Sudha,"Eggs, Meat & Fish",Eggs,Trichy,2018-07-06,East,682,170.5
James,Food Grains,Organic Staples,Tirunelveli,2018-06-24,East,1738,243.32
Vidya,Bakery,Cakes,Salem,2015-08-03,West,2421,484.2
Jackson,Food Grains,Organic Staples,Ramanadhapuram,2015-08-03,West,2245,404.1
Akash,Oil & Masala,Masalas,Vellore,2018-12-17,Central,896,295.68
Ram,Oil & Masala,Spices,Virudhunagar,2018-06-03,South,1033,185.94
Vinne,"Eggs, Meat & Fish",Mutton,Madurai,2018-12-09,West,1998,139.86
Verma,"Eggs, Meat & Fish",Chicken,Perambalur,2018-12-01,Central,1469,646.36
Haseena,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,2018-12-01,Central,1899,360.81
Esther,"Eggs, Meat & Fish",Mutton,Pudukottai,2018-12-01,Central,2194,153.58
Amrish,Beverages,Soft Drinks,Vellore,2018-12-01,Central,1942,504.92
Hafiz,Fruits & Veggies,Organic Vegetables,Kanyakumari,2018-12-01,Central,609,207.06
Verma,"Eggs, Meat & Fish",Chicken,Trichy,2016-02-09,Central,2353,423.54
Peer,Beverages,Soft Drinks,Salem,2016-01-02,East,1591,270.47
Arutra,Food Grains,Rice,Krishnagiri,2016-01-02,East,1353,527.67
Jonas,Beverages,Health Drinks,Namakkal,2016-01-02,East,1020,81.6
Harish,Snacks,Noodles,Ramanadhapuram,2016-01-02,East,1362,177.06
Sundar,Food Grains,Rice,Krishnagiri,2016-01-02,East,1733,433.25
Suresh,Oil & Masala,Masalas,Tirunelveli,2017-10-28,West,1949,97.45
Sabeela,Fruits & Veggies,Organic Fruits,Virudhunagar,2017-10-28,West,2368,876.16
Arvind,Fruits & Veggies,Fresh Vegetables,Pudukottai,2016-12-24,East,2110,485.3
Ramesh,Food Grains,Dals & Pulses,Madurai,2016-12-24,East,1940,795.4
Willams,"Eggs, Meat & Fish",Fish,Vellore,2016-12-24,East,1557,638.37
Ramesh,"Eggs, Meat & Fish",Fish,Madurai,2016-12-24,East,1443,274.17
Yadav,Beverages,Soft Drinks,Perambalur,2016-12-24,East,2024,910.8
Krithika,"Eggs, Meat & Fish",Chicken,Viluppuram,2016-12-24,East,2168,563.68
Verma,"Eggs, Meat & Fish",Chicken,Tirunelveli,2016-08-09,Central,621,173.88
Komal,Food Grains,Organic Staples,Madurai,2016-08-09,Central,1230,295.2
Harish,Snacks,Cookies,Salem,2016-08-09,Central,560,240.8
Sudha,Oil & Masala,Edible Oil & Ghee,Tenkasi,2016-02-28,South,1286,282.92
Ramesh,Beverages,Health Drinks,Tenkasi,2016-02-28,South,1242,149.04
Arvind,Bakery,Breads & Buns,Krishnagiri,2015-09-13,South,717,43.02
Komal,Beverages,Soft Drinks,Namakkal,2018-04-07,South,1480,444.0
Komal,Food Grains,Dals & Pulses,Salem,2018-04-07,South,826,247.8
Ramesh,Snacks,Cookies,Ooty,2018-04-07,South,1846,276.9
Mathew,Beverages,Soft Drinks,Viluppuram,2018-04-07,South,2045,552.15
Vince,Fruits & Veggies,Organic Fruits,Nagercoil,2018-04-07,South,1983,773.37
Shah,Bakery,Cakes,Bodi,2018-11-12,West,650,247.0
Ravi,Bakery,Breads & Buns,Ramanadhapuram,2017-06-04,Central,2163,216.3
Adavan,Fruits & Veggies,Organic Vegetables,Bodi,2017-06-04,Central,1481,518.35
Arvind,Snacks,Cookies,Trichy,2017-06-04,Central,2492,124.6
Ramesh,Bakery,Cakes,Nagercoil,2017-06-04,Central,962,423.28
Malik,Beverages,Health Drinks,Coimbatore,2017-06-04,Central,1432,214.8
Muneer,Oil & Masala,Edible Oil & Ghee,Virudhunagar,2017-06-04,Central,523,78.45
Amy,Oil & Masala,Masalas,Chennai,2017-06-04,Central,1540,646.8
Roshan,Bakery,Biscuits,Coimbatore,2015-06-01,Central,817,326.8
Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,2015-06-01,Central,2462,369.3
Sudeep,Fruits & Veggies,Organic Fruits,Perambalur,2015-06-01,Central,962,288.6
Ridhesh,Beverages,Health Drinks,Cumbum,2015-06-01,Central,538,59.18
Ravi,Snacks,Cookies,Ooty,2015-06-01,Central,1556,482.36
James,Beverages,Health Drinks,Vellore,2017-12-10,West,2133,959.85
Mathew,Beverages,Health Drinks,Tirunelveli,2017-09-11,West,1474,235.84
Amrish,Beverages,Health Drinks,Dindigul,2017-09-11,West,531,127.44
Ramesh,Food Grains,Rice,Pudukottai,2017-12-10,East,1769,636.84
Surya,Fruits & Veggies,Organic Vegetables,Pudukottai,2017-12-10,East,1257,62.85
Veronica,Food Grains,Rice,Ramanadhapuram,2016-11-28,Central,1899,170.91
Harish,Fruits & Veggies,Fresh Fruits,Tirunelveli,2016-11-28,Central,1929,617.28
Ravi,Beverages,Soft Drinks,Ooty,2016-11-28,Central,2417,990.97
Sundar,"Eggs, Meat & Fish",Mutton,Chennai,2016-11-28,Central,1443,476.19
Esther,Beverages,Soft Drinks,Dharmapuri,2018-12-01,East,660,290.4
Shree,Bakery,Breads & Buns,Salem,2018-12-01,East,2114,359.38
Sabeela,Oil & Masala,Masalas,Tenkasi,2018-12-01,East,1278,63.9
Ravi,Food Grains,Organic Staples,Krishnagiri,2018-06-08,Central,867,216.75
Roshan,Food Grains,Organic Staples,Kanyakumari,2015-09-19,Central,943,150.88
Vince,Beverages,Soft Drinks,Theni,2015-09-19,Central,1836,275.4
Jonas,"Eggs, Meat & Fish",Fish,Cumbum,2017-06-06,Central,1200,420.0
Harish,Fruits & Veggies,Organic Vegetables,Tirunelveli,2016-11-10,West,1167,256.74
Shah,"Eggs, Meat & Fish",Chicken,Perambalur,2018-06-16,South,696,139.2
Arvind,Oil & Masala,Masalas,Virudhunagar,2017-01-22,East,2500,425.0
Adavan,Bakery,Cakes,Dharmapuri,2018-12-09,East,1507,180.84
Suresh,Beverages,Soft Drinks,Namakkal,2018-12-09,East,1612,612.56
Esther,Snacks,Noodles,Theni,2018-12-28,West,764,160.44
Krithika,Snacks,Noodles,Tenkasi,2016-07-30,West,884,282.88
Muneer,Fruits & Veggies,Organic Fruits,Viluppuram,2016-07-30,West,2443,781.76
Hafiz,Bakery,Cakes,Vellore,2016-07-30,West,1147,137.64
Krithika,Fruits & Veggies,Organic Vegetables,Coimbatore,2018-09-16,West,1899,493.74
Amrish,Bakery,Cakes,Pudukottai,2018-09-16,West,744,66.96
Shah,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-10-13,East,812,284.2
Ram,Oil & Masala,Masalas,Virudhunagar,2018-10-13,East,862,137.92
Arutra,Snacks,Chocolates,Virudhunagar,2018-10-13,East,1061,286.47
Sabeela,Fruits & Veggies,Fresh Vegetables,Pudukottai,2018-10-13,East,2365,520.3
Vidya,Snacks,Chocolates,Karur,2016-09-26,Central,1421,454.72
Roshan,Fruits & Veggies,Organic Vegetables,Perambalur,2016-09-26,Central,1357,203.55
Sheeba,Beverages,Soft Drinks,Chennai,2016-11-02,West,1007,433.01
Amrish,Bakery,Biscuits,Kanyakumari,2016-09-26,West,1544,138.96
Kumar,Fruits & Veggies,Organic Vegetables,Salem,2016-09-26,West,1537,599.43
Ridhesh,Bakery,Breads & Buns,Ooty,2016-09-26,West,1530,168.3
Hafiz,Oil & Masala,Spices,Tirunelveli,2017-12-18,South,2460,738.0
Sudha,Snacks,Noodles,Cumbum,2017-12-18,South,976,429.44
Suresh,Fruits & Veggies,Organic Fruits,Coimbatore,2017-12-18,South,1106,298.62
Jonas,Bakery,Biscuits,Tirunelveli,2017-11-20,East,1165,244.65
Jonas,Food Grains,Rice,Chennai,2017-11-20,East,1244,497.6
Amrish,Fruits & Veggies,Organic Fruits,Madurai,2017-11-20,East,1992,418.32
Sheeba,"Eggs, Meat & Fish",Eggs,Ooty,2017-11-20,East,1396,237.32
Ram,Snacks,Chocolates,Ramanadhapuram,2015-12-26,West,849,263.19
Sheeba,Oil & Masala,Masalas,Dharmapuri,2015-12-26,West,2488,547.36
Muneer,Food Grains,Rice,Dharmapuri,2015-12-26,West,840,184.8
Aditi,Oil & Masala,Edible Oil & Ghee,Krishnagiri,2015-12-26,West,1820,527.8
Roshan,Oil & Masala,Masalas,Bodi,2015-12-26,West,1969,630.08
Sundar,Food Grains,Organic Staples,Virudhunagar,2017-10-28,East,2261,994.84
Sudha,"Eggs, Meat & Fish",Mutton,Namakkal,2017-10-28,East,1793,304.81
Haseena,Bakery,Breads & Buns,Ooty,2017-10-28,East,644,96.6
Willams,Oil & Masala,Edible Oil & Ghee,Viluppuram,2017-10-28,East,1359,421.29
Veronica,Bakery,Breads & Buns,Dharmapuri,2017-10-28,East,1554,683.76
Muneer,Snacks,Cookies,Tenkasi,2018-11-19,Central,2090,292.6
Anu,Oil & Masala,Edible Oil & Ghee,Kanyakumari,2016-05-04,East,931,297.92
Veronica,Bakery,Breads & Buns,Salem,2015-12-30,Central,1157,404.95
Verma,Fruits & Veggies,Fresh Fruits,Ooty,2015-06-01,East,2396,383.36
Sundar,Oil & Masala,Spices,Pudukottai,2015-06-01,East,1677,586.95
Esther,Snacks,Cookies,Tenkasi,2018-04-15,South,590,200.6
Vinne,Snacks,Noodles,Namakkal,2017-09-12,West,1401,196.14
Peer,Oil & Masala,Edible Oil & Ghee,Viluppuram,2017-09-12,West,678,189.84
Harish,Snacks,Chocolates,Vellore,2017-09-12,West,2417,797.61
Willams,Beverages,Soft Drinks,Theni,2017-09-12,West,2211,641.19
Vidya,Fruits & Veggies,Fresh Fruits,Perambalur,2015-09-27,East,2392,406.64
Arutra,"Eggs, Meat & Fish",Mutton,Krishnagiri,2015-08-09,South,1835,660.6
Malik,Snacks,Noodles,Chennai,2015-08-09,South,2281,775.54
Peer,Fruits & Veggies,Fresh Vegetables,Cumbum,2015-12-28,East,1583,174.13
Arvind,Bakery,Cakes,Vellore,2015-11-04,East,1123,89.84
Sudeep,Snacks,Cookies,Viluppuram,2015-11-04,East,1079,410.02
Arvind,Food Grains,Organic Staples,Krishnagiri,2015-11-04,East,1027,328.64
Alan,Fruits & Veggies,Fresh Vegetables,Dharmapuri,2015-11-04,East,1771,602.14
Sheeba,Oil & Masala,Spices,Karur,2015-11-04,East,1171,363.01
Arvind,Bakery,Cakes,Pudukottai,2015-09-19,West,672,141.12
Anu,Beverages,Health Drinks,Dindigul,2017-04-23,West,848,228.96
Amrish,Fruits & Veggies,Fresh Vegetables,Pudukottai,2017-04-23,West,2078,914.32
Ravi,Food Grains,Rice,Krishnagiri,2018-11-03,South,1400,406.0
Verma,Fruits & Veggies,Fresh Vegetables,Cumbum,2017-08-30,East,945,226.8
Arutra,Beverages,Health Drinks,Vellore,2017-08-30,East,590,82.6
Malik,Beverages,Health Drinks,Dharmapuri,2017-08-30,East,1583,316.6
Vidya,Beverages,Health Drinks,Pudukottai,2017-08-30,East,1534,245.44
Krithika,Snacks,Noodles,Karur,2017-08-30,East,2133,490.59
Shree,Fruits & Veggies,Organic Fruits,Trichy,2017-04-25,East,2021,747.77
Shree,Beverages,Health Drinks,Salem,2017-04-25,East,1825,164.25
Akash,Bakery,Breads & Buns,Nagercoil,2017-04-25,East,2029,608.7
Verma,Oil & Masala,Spices,Perambalur,2016-09-01,West,1228,442.08
